Material,Plant,created On,Daily_Sales,Ph1
10000092,7015,2025-07-31 00:00:00,1,10004
10000092,7015,2025-08-04 00:00:00,2,10004
10000092,7015,2025-08-04 00:00:00,2,10004
10000092,7015,2025-08-18 00:00:00,1,10004
10000092,7015,2025-08-18 00:00:00,1,10004
10000092,7015,2025-09-10 00:00:00,1,10004
10000092,7015,2025-09-10 00:00:00,1,10004
10000092,7015,2025-09-21 00:00:00,1,10004
10000092,7015,2025-09-21 00:00:00,1,10004
10000092,7017,2025-08-10 00:00:00,1,10004
10000092,7017,2025-08-10 00:00:00,1,10004
10000092,7017,2025-08-15 00:00:00,1,10004
10000092,7017,2025-08-15 00:00:00,1,10004
10000092,7017,2025-08-18 00:00:00,1,10004
10000092,7017,2025-08-18 00:00:00,1,10004
10000092,7017,2025-08-19 00:00:00,1,10004
10000092,7017,2025-08-19 00:00:00,1,10004
10000092,7019,2025-07-31 00:00:00,1,10004
10000092,7019,2025-07-31 00:00:00,1,10004
10000092,7019,2025-08-04 00:00:00,1,10004
10000092,7019,2025-08-04 00:00:00,1,10004
10000092,7019,2025-08-06 00:00:00,1,10004
10000092,7019,2025-08-06 00:00:00,1,10004
10000092,7019,2025-08-15 00:00:00,1,10004
10000092,7019,2025-08-15 00:00:00,1,10004
10000092,7019,2025-08-30 00:00:00,1,10004
10000092,7019,2025-08-30 00:00:00,1,10004
10000092,7019,2025-09-13 00:00:00,1,10004
10000092,7019,2025-09-13 00:00:00,1,10004
10000092,7019,2025-09-15 00:00:00,1,10004
10000092,7019,2025-09-15 00:00:00,1,10004
10000092,7049,2025-07-18 00:00:00,1,10004
10000092,7049,2025-07-18 00:00:00,1,10004
10000092,7049,2025-08-04 00:00:00,1,10004
10000092,7049,2025-08-04 00:00:00,1,10004
10000092,7049,2025-08-18 00:00:00,1,10004
10000092,7049,2025-08-18 00:00:00,1,10004
10000092,7049,2025-08-23 00:00:00,1,10004
10000092,7049,2025-08-23 00:00:00,1,10004
10000092,7049,2025-09-06 00:00:00,1,10004
10000092,7049,2025-09-06 00:00:00,1,10004
10000092,7049,2025-09-20 00:00:00,1,10004
10000092,7049,2025-09-20 00:00:00,1,10004
10000092,7050,2025-07-28 00:00:00,1,10004
10000092,7050,2025-07-28 00:00:00,1,10004
10000092,7050,2025-08-18 00:00:00,1,10004
10000092,7050,2025-08-18 00:00:00,1,10004
10000092,7050,2025-08-30 00:00:00,1,10004
10000092,7050,2025-08-30 00:00:00,1,10004
10000092,7050,2025-09-06 00:00:00,1,10004
10000092,7050,2025-09-06 00:00:00,1,10004
10000092,7050,2025-09-09 00:00:00,1,10004
10000092,7050,2025-09-09 00:00:00,1,10004
10000092,7052,2025-08-10 00:00:00,1,10004
10000092,7052,2025-08-10 00:00:00,1,10004
10000092,7052,2025-08-15 00:00:00,1,10004
10000092,7052,2025-08-15 00:00:00,1,10004
10000092,7052,2025-08-19 00:00:00,1,10004
